threshold,accuracy,precision,recall,f1,auc_roc
0.05,0.64462810754776,0.64462810754776,1.0,0.783919632434845,0.9724955277280859
0.1,0.64462810754776,0.64462810754776,1.0,0.783919632434845,0.9724955277280859
0.15,0.6735537052154541,0.6638298034667969,1.0,0.7979539632797241,0.9724955277280859
0.2,0.8057851195335388,0.7684729099273682,1.0,0.8690807819366455,0.9724955277280859
0.25,0.9173553586006165,0.8863636255264282,1.0,0.9397590160369873,0.9724955277280859
0.3,0.96074378490448,0.9452887773513794,0.9967948794364929,0.9703588485717773,0.9724955277280859
0.35,0.9566115736961365,0.947692334651947,0.9871794581413269,0.9670329689979553,0.9724955277280859
0.4,0.942148745059967,0.949367105960846,0.9615384340286255,0.9554139375686646,0.9724955277280859
0.45,0.9070248007774353,0.9651567935943604,0.8878205418586731,0.9248748421669006,0.9724955277280859
0.5,0.8223140239715576,0.9747899174690247,0.7435897588729858,0.8436363339424133,0.9724955277280859
0.55,0.68388432264328,0.9704142212867737,0.5256410241127014,0.6819126605987549,0.9724955277280859
0.6,0.5619834661483765,0.9807692170143127,0.32692307233810425,0.49038460850715637,0.9724955277280859
0.65,0.4235537052154541,0.9714285731315613,0.10897435992956161,0.19596540927886963,0.9724955277280859
0.7,0.3801652789115906,1.0,0.03846153989434242,0.07407407462596893,0.9724955277280859
0.75,0.35743802785873413,1.0,0.0032051282469183207,0.00638977624475956,0.9724955277280859
0.8,0.35537189245224,0.0,0.0,0.0,0.9724955277280859
0.85,0.35537189245224,0.0,0.0,0.0,0.9724955277280859
0.9,0.35537189245224,0.0,0.0,0.0,0.9724955277280859
0.95,0.35537189245224,0.0,0.0,0.0,0.9724955277280859
